Delivery_person_Age,Delivery_person_Ratings,distance,order_preparation_time,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
23.0,4.5,11.0,1395.0,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,36
29.0,4.8,10.0,1355.0,Stormy,Low,0,motorcycle,1.0,No,Urban,16
37.0,4.8,12.0,15.0,Sunny,Low,1,motorcycle,1.0,No,Metropolitian,20
20.0,4.5,17.0,10.0,Fog,Medium,2,motorcycle,0.0,No,Metropolitian,29
38.0,4.5,12.0,10.0,Cloudy,Low,1,scooter,1.0,No,Metropolitian,25
30.0,4.9,4.0,10.0,Cloudy,Jam,2,electric_scooter,1.0,No,Metropolitian,38
30.0,4.6,6.0,10.0,Sunny,Medium,2,scooter,1.0,No,Metropolitian,20
34.0,4.6,13.0,15.0,Windy,Jam,0,motorcycle,2.0,No,Metropolitian,39
38.0,4.6,9.0,15.0,Cloudy,Medium,2,scooter,1.0,No,Urban,15
38.0,4.1,1.0,10.0,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,33
22.0,4.8,9.0,15.0,Sunny,Jam,1,motorcycle,1.0,No,Metropolitian,19
23.0,4.5,7.0,1420.0,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,21
24.0,4.9,13.0,1270.0,Cloudy,Medium,2,electric_scooter,1.0,No,Urban,39
35.0,4.7,11.0,20.0,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,36
36.0,4.2,1.0,15.0,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,22
32.0,4.6,9.0,5.0,Fog,Jam,1,motorcycle,1.0,No,Metropolitian,36
38.0,4.4,7.0,1275.0,Stormy,Medium,0,motorcycle,1.0,No,Metropolitian,38
25.0,3.7,6.0,10.0,Sunny,High,0,motorcycle,1.0,No,Metropolitian,44
30.0,4.4,3.0,5.0,Fog,High,1,motorcycle,0.0,No,Metropolitian,36
35.0,4.4,13.0,5.0,Fog,Medium,1,scooter,1.0,No,Metropolitian,36
29.566910587697233,4.6337736972250205,1.0,660.0,Fog,Low,3,electric_scooter,1.0,No,Metropolitian,19
24.0,4.1,17.0,5.0,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,36
33.0,4.7,6.0,5.0,Windy,High,0,motorcycle,0.0,No,Metropolitian,33
29.566910587697233,4.6337736972250205,6.0,15.0,Fog,High,0,motorcycle,1.0,No,Metropolitian,29
34.0,3.3,19.0,1360.0,Sunny,Low,0,motorcycle,1.0,No,Metropolitian,32
32.0,4.4,10.0,15.0,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,50
30.0,4.3,13.0,5.0,Cloudy,Medium,1,motorcycle,1.0,No,Metropolitian,36
35.0,4.1,6.0,10.0,Sandstorms,Medium,0,motorcycle,0.0,No,Metropolitian,37
37.0,4.6,19.0,220.0,Stormy,Medium,0,motorcycle,0.0,No,Urban,33
38.0,4.7,11.0,5.0,Stormy,Low,1,motorcycle,1.0,No,Metropolitian,24
30.0,4.4,16.0,5.0,Stormy,Jam,1,scooter,2.0,No,Metropolitian,40
24.0,4.8,19.0,15.0,Windy,Jam,1,scooter,1.0,No,Metropolitian,26
23.0,4.7,4.0,5.0,Windy,Medium,1,motorcycle,1.0,No,Metropolitian,27
31.0,4.6,19.0,15.0,Stormy,Medium,2,motorcycle,0.0,No,Metropolitian,24
20.0,5.0,11.0,1415.0,Sunny,Jam,1,motorcycle,1.0,No,Metropolitian,14
32.0,4.7,8.0,10.0,Sandstorms,Jam,2,scooter,1.0,No,Metropolitian,27
31.0,4.5,4.0,15.0,Sunny,Jam,2,scooter,1.0,No,Metropolitian,16
32.0,4.8,6.0,15.0,Stormy,Medium,0,motorcycle,0.0,No,Metropolitian,28
34.0,4.0,6.0,5.0,Sandstorms,High,1,scooter,2.0,No,Metropolitian,32
20.0,4.8,13.0,10.0,Stormy,Low,2,scooter,0.0,No,Metropolitian,15
29.0,4.9,1.0,15.0,Sandstorms,High,0,motorcycle,0.0,No,Urban,21
37.0,4.8,1.0,10.0,Cloudy,Low,1,motorcycle,1.0,No,Urban,17
29.0,2.9,19.0,1295.0,Sunny,Low,2,motorcycle,2.0,No,Metropolitian,43
20.0,4.8,12.0,35.0,Stormy,Jam,2,electric_scooter,1.0,No,Metropolitian,28
37.0,4.9,3.0,10.0,Fog,Low,0,motorcycle,1.0,No,Urban,25
33.0,4.7,19.0,10.0,Sunny,Medium,1,motorcycle,1.0,No,Metropolitian,18
38.0,4.0,5.0,5.0,Sandstorms,High,1,scooter,1.0,No,Metropolitian,31
29.566910587697233,4.6337736972250205,9.0,1355.0,Sunny,Jam,0,motorcycle,1.0,No,Metropolitian,43
24.0,4.8,16.0,15.0,Fog,Low,0,motorcycle,1.0,No,Metropolitian,24
27.0,4.7,19.0,15.0,Windy,Jam,1,motorcycle,1.0,No,Metropolitian,27
28.0,4.8,5.0,15.0,Sandstorms,High,1,motorcycle,1.0,No,Metropolitian,18
24.0,4.6,4.0,5.0,Stormy,Jam,2,scooter,1.0,No,Metropolitian,24
20.0,4.6,12.0,5.0,Sunny,Jam,2,electric_scooter,1.0,No,Metropolitian,20
35.0,3.5,16.0,220.0,Stormy,Medium,2,scooter,1.0,No,Urban,37
30.0,4.8,1.0,5.0,Sunny,Low,2,scooter,0.0,No,Metropolitian,10
39.0,4.1,13.0,5.0,Fog,Low,2,scooter,1.0,No,Metropolitian,34
33.0,3.8,10.0,15.0,Sandstorms,Jam,2,electric_scooter,0.0,No,Metropolitian,33
21.0,4.7,2.0,5.0,Fog,Low,1,scooter,0.0,No,Urban,11
37.0,3.6,20.0,10.0,Stormy,Jam,1,scooter,0.0,No,Metropolitian,41
36.0,4.6,9.0,15.0,Fog,Low,0,motorcycle,1.0,No,Urban,29
33.0,4.8,19.0,5.0,Cloudy,Medium,2,scooter,0.0,No,Metropolitian,34
22.0,4.5,6.0,10.0,Fog,Medium,2,scooter,1.0,No,Metropolitian,15
29.566910587697233,4.6337736972250205,13.0,5.0,Stormy,Jam,1,motorcycle,0.0,No,Metropolitian,25
38.0,4.7,16.0,35.0,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,43
22.0,4.1,10.0,15.0,Sandstorms,Jam,0,motorcycle,1.0,No,Urban,33
25.0,4.5,13.0,1355.0,Cloudy,Low,0,motorcycle,1.0,No,Urban,22
38.0,4.1,16.0,5.0,Cloudy,Jam,1,motorcycle,0.0,No,Semi-Urban,48
37.0,4.1,13.0,5.0,Sunny,Medium,0,motorcycle,1.0,No,Urban,36
36.0,4.9,13.0,10.0,Sunny,Jam,0,motorcycle,1.0,No,Metropolitian,36
30.0,5.0,1.0,10.0,Fog,Low,1,scooter,0.0,No,Metropolitian,17
26.0,4.8,10.0,10.0,Cloudy,Medium,0,motorcycle,0.0,Yes,Metropolitian,41
29.0,4.7,4.0,5.0,Sunny,Jam,2,scooter,0.0,No,Urban,16
36.0,4.8,1.0,5.0,Fog,Low,1,motorcycle,1.0,No,Urban,17
36.0,4.8,1.0,10.0,Stormy,High,1,motorcycle,1.0,No,Metropolitian,32
26.0,4.8,13.0,5.0,Cloudy,Jam,1,motorcycle,1.0,No,Metropolitian,31
25.0,4.7,19.0,10.0,Sandstorms,Medium,2,scooter,1.0,No,Urban,15
30.0,4.5,8.0,15.0,Fog,Jam,2,scooter,1.0,No,Urban,27
24.0,4.7,9.0,10.0,Cloudy,Low,1,motorcycle,1.0,No,Metropolitian,16
36.0,4.6,19.0,10.0,Stormy,Low,2,motorcycle,0.0,No,Metropolitian,18
39.0,5.0,4.0,70.0,Fog,Low,0,motorcycle,0.0,No,Metropolitian,28
27.0,5.0,12.0,15.0,Sunny,Jam,1,motorcycle,1.0,No,Metropolitian,15
27.0,4.9,9.0,10.0,Stormy,Jam,2,motorcycle,0.0,No,Metropolitian,10
30.0,4.2,17.0,15.0,Cloudy,Jam,2,scooter,1.0,No,Metropolitian,36
28.0,4.9,4.0,10.0,Sandstorms,Medium,0,motorcycle,1.0,No,Urban,21
29.566910587697233,4.6337736972250205,10.0,1175.0,Fog,Low,0,motorcycle,0.0,No,Urban,37
26.0,4.4,3.0,5.0,Stormy,Low,0,motorcycle,0.0,No,Metropolitian,29
29.566910587697233,4.6337736972250205,6.0,1055.0,Stormy,Medium,0,motorcycle,1.0,No,Metropolitian,27
36.0,4.8,2.0,10.0,Fog,Low,0,motorcycle,1.0,No,Urban,20
39.0,4.3,9.0,15.0,Sandstorms,Medium,2,scooter,0.0,No,Metropolitian,31
35.0,4.3,4.0,10.0,Stormy,Jam,0,motorcycle,0.0,Yes,Semi-Urban,46
36.0,5.0,7.0,1295.0,Cloudy,Low,2,scooter,0.0,No,Metropolitian,19
27.0,5.0,9.0,15.0,Sunny,Jam,1,scooter,1.0,No,Metropolitian,19
23.0,4.7,12.0,15.0,Cloudy,Medium,2,scooter,1.0,No,Metropolitian,28
31.0,4.8,6.0,15.0,Fog,High,1,motorcycle,1.0,No,Metropolitian,38
24.0,4.7,9.0,15.0,Windy,Jam,0,motorcycle,1.0,No,Urban,18
22.0,4.9,9.0,10.0,Cloudy,Low,1,motorcycle,1.0,No,Metropolitian,15
21.0,4.9,6.0,1100.0,Windy,Medium,0,motorcycle,0.0,No,Urban,13
26.0,4.9,4.0,165.0,Sunny,Medium,1,motorcycle,0.0,No,Urban,11
32.0,4.7,7.0,5.0,Stormy,Jam,2,electric_scooter,1.0,No,Urban,27
32.0,4.7,3.0,5.0,Sunny,Low,0,motorcycle,0.0,No,Metropolitian,24
23.0,4.6,7.0,1365.0,Fog,Low,0,motorcycle,1.0,No,Metropolitian,19
29.566910587697233,4.6337736972250205,10.0,80.0,Cloudy,Low,1,motorcycle,1.0,No,Metropolitian,23
29.0,4.8,12.0,15.0,Sandstorms,Medium,1,motorcycle,1.0,No,Urban,26
24.0,4.2,10.0,155.0,Cloudy,Medium,1,scooter,2.0,No,Metropolitian,39
39.0,4.8,13.0,5.0,Windy,Medium,1,scooter,0.0,No,Metropolitian,30
36.0,4.9,1.0,10.0,Fog,Low,1,motorcycle,1.0,No,Urban,15
38.0,4.3,9.0,1270.0,Sandstorms,Medium,0,motorcycle,0.0,No,Urban,36
20.0,4.7,6.0,10.0,Sunny,High,1,motorcycle,1.0,No,Metropolitian,13
29.0,4.7,7.0,10.0,Sandstorms,Jam,2,motorcycle,0.0,No,Urban,13
34.0,4.9,1.0,5.0,Sunny,Low,0,motorcycle,1.0,No,Metropolitian,21
36.0,4.3,7.0,5.0,Cloudy,Jam,1,motorcycle,1.0,No,Metropolitian,31
30.0,4.7,13.0,15.0,Sunny,Medium,0,motorcycle,0.0,No,Metropolitian,34
20.0,4.5,13.0,15.0,Sandstorms,Medium,1,motorcycle,1.0,No,Urban,16
23.0,4.6,12.0,10.0,Cloudy,Low,1,scooter,1.0,No,Urban,20
28.0,4.6,19.0,5.0,Sandstorms,Jam,2,motorcycle,1.0,No,Metropolitian,20
33.0,4.7,4.0,5.0,Windy,Jam,1,scooter,1.0,No,Metropolitian,33
32.0,4.7,16.0,15.0,Stormy,Medium,0,motorcycle,1.0,No,Metropolitian,31
30.0,4.4,17.0,10.0,Fog,Low,0,motorcycle,0.0,No,Metropolitian,39
31.0,4.9,9.0,10.0,Windy,Jam,0,motorcycle,0.0,No,Urban,31
22.0,4.8,20.0,5.0,Fog,Medium,2,motorcycle,1.0,No,Urban,30
29.0,4.9,13.0,5.0,Sandstorms,Medium,1,scooter,1.0,No,Metropolitian,21
36.0,4.0,10.0,15.0,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,43
29.0,4.9,9.0,15.0,Cloudy,Jam,2,scooter,1.0,No,Metropolitian,24
36.0,4.4,12.0,10.0,Cloudy,Low,2,electric_scooter,2.0,No,Metropolitian,39
34.0,4.2,6.0,10.0,Stormy,Medium,2,electric_scooter,1.0,No,Metropolitian,32
24.0,4.9,12.0,5.0,Windy,Medium,0,motorcycle,1.0,No,Metropolitian,28
30.0,4.8,4.0,15.0,Sunny,Medium,2,motorcycle,0.0,No,Urban,19
20.0,4.7,7.0,10.0,Stormy,Low,1,scooter,0.0,No,Metropolitian,18
35.0,4.3,4.0,5.0,Fog,Jam,1,motorcycle,1.0,No,Metropolitian,34
28.0,4.7,3.0,10.0,Fog,Low,1,scooter,1.0,No,Metropolitian,12
21.0,4.8,9.0,15.0,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,21
27.0,4.0,9.0,1365.0,Sandstorms,Low,0,motorcycle,1.0,No,Urban,21
38.0,4.6,9.0,1355.0,Cloudy,Low,1,scooter,0.0,No,Metropolitian,16
38.0,4.7,6.0,10.0,Cloudy,Medium,1,scooter,0.0,No,Urban,15
35.0,4.6,1.0,585.0,Cloudy,High,0,motorcycle,1.0,No,Metropolitian,29
37.0,4.3,6.0,525.0,Fog,High,2,scooter,1.0,No,Metropolitian,36
28.0,4.7,4.0,10.0,Windy,Low,1,motorcycle,1.0,No,Urban,19
38.0,4.4,17.0,10.0,Fog,Jam,2,motorcycle,1.0,No,Urban,35
31.0,4.7,12.0,5.0,Cloudy,Jam,1,motorcycle,1.0,Yes,Metropolitian,42
32.0,4.5,9.0,5.0,Sunny,Jam,2,electric_scooter,1.0,No,Metropolitian,18
25.0,4.6,16.0,15.0,Sunny,Low,2,scooter,1.0,No,Metropolitian,27
29.0,4.7,4.0,40.0,Sandstorms,Jam,1,scooter,1.0,No,Urban,10
38.0,4.3,10.0,15.0,Fog,Low,0,motorcycle,1.0,Yes,Metropolitian,40
26.0,4.5,9.0,10.0,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,24
23.0,4.8,7.0,5.0,Cloudy,Low,0,motorcycle,0.0,No,Metropolitian,18
36.0,4.7,13.0,15.0,Sunny,Medium,2,electric_scooter,1.0,No,Metropolitian,22
20.0,4.9,16.0,10.0,Stormy,Medium,2,scooter,1.0,No,Metropolitian,26
35.0,4.9,12.0,5.0,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,20
30.0,4.0,9.0,15.0,Stormy,Low,0,motorcycle,0.0,No,Metropolitian,24
36.0,4.6,19.0,10.0,Fog,Medium,1,scooter,0.7446345675136238,No,Metropolitian,42
29.566910587697233,4.6337736972250205,9.0,1300.0,Fog,Low,3,scooter,2.0,No,Metropolitian,40
33.0,4.2,3.0,10.0,Windy,Low,0,motorcycle,0.0,No,Metropolitian,23
29.0,4.5,13.0,1335.0,Stormy,Jam,2,scooter,1.0,No,Metropolitian,15
38.0,4.8,3.0,850.0,Fog,High,1,scooter,1.0,No,Metropolitian,28
29.0,4.8,16.0,5.0,Sunny,Medium,2,scooter,0.0,No,Metropolitian,12
27.0,4.6,16.0,10.0,Windy,Low,0,motorcycle,1.0,No,Urban,19
21.0,4.8,4.0,15.0,Sandstorms,Medium,1,motorcycle,0.0,No,Metropolitian,21
37.0,4.2,8.0,15.0,Sandstorms,Medium,2,scooter,1.0,No,Metropolitian,31
33.0,4.8,11.0,5.0,Windy,Medium,1,scooter,1.0,No,Urban,23
37.0,4.2,16.0,35.0,Windy,Jam,1,scooter,1.0,No,Metropolitian,41
24.0,4.8,7.0,15.0,Stormy,Medium,0,motorcycle,1.0,No,Metropolitian,23
38.0,4.7,19.0,15.0,Windy,Low,0,motorcycle,0.0,No,Metropolitian,26
23.0,4.5,9.0,1335.0,Fog,Jam,1,motorcycle,1.0,No,Metropolitian,27
28.0,4.8,9.0,15.0,Fog,Medium,0,motorcycle,0.0,No,Metropolitian,26
33.0,4.7,3.0,10.0,Windy,Low,2,scooter,0.0,No,Metropolitian,23
34.0,4.8,1.0,10.0,Fog,Low,1,motorcycle,1.0,No,Metropolitian,18
28.0,4.2,16.0,5.0,Cloudy,Jam,1,motorcycle,0.0,No,Metropolitian,31
39.0,5.0,7.0,15.0,Stormy,Low,1,motorcycle,1.0,No,Metropolitian,22
36.0,4.7,4.0,80.0,Sunny,Low,0,motorcycle,1.0,No,Metropolitian,25
34.0,4.9,6.0,10.0,Stormy,Medium,0,motorcycle,1.0,No,Urban,26
20.0,4.6,4.0,10.0,Windy,Jam,2,scooter,0.0,No,Urban,23
23.0,4.0,3.0,10.0,Windy,Low,0,motorcycle,0.0,No,Metropolitian,17
29.566910587697233,4.6337736972250205,12.0,1435.0,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,45
22.0,4.7,10.0,15.0,Windy,Low,1,motorcycle,0.0,No,Urban,14
29.0,5.0,12.0,5.0,Sunny,Jam,1,motorcycle,0.0,No,Metropolitian,24
27.0,4.8,12.0,105.0,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,25
28.0,4.5,12.0,5.0,Windy,Jam,2,scooter,0.0,No,Metropolitian,22
30.0,4.6,10.0,15.0,Cloudy,Jam,0,motorcycle,2.0,No,Metropolitian,44
29.0,4.8,6.0,10.0,Stormy,Medium,0,motorcycle,0.0,No,Urban,18
27.0,5.0,4.0,10.0,Fog,Medium,1,scooter,0.0,No,Metropolitian,10
28.0,4.5,10.0,15.0,Fog,Low,2,motorcycle,1.0,No,Metropolitian,21
28.0,4.2,1.0,10.0,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,17
35.0,4.9,9.0,10.0,Cloudy,Jam,2,scooter,1.0,No,Metropolitian,26
26.0,4.6,17.0,10.0,Sandstorms,Medium,1,scooter,0.0,No,Urban,21
29.0,4.8,4.0,15.0,Sunny,Low,2,scooter,0.0,No,Urban,23
26.0,4.4,1.0,5.0,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,25
38.0,4.7,20.0,15.0,Cloudy,Jam,2,scooter,1.0,No,Metropolitian,44
21.0,4.6,9.0,10.0,Sandstorms,Medium,2,scooter,1.0,No,Metropolitian,28
28.0,4.9,1.0,730.0,Windy,Low,2,scooter,0.7446345675136238,No,Metropolitian,17
24.0,4.7,1.0,5.0,Sandstorms,Low,2,scooter,0.7446345675136238,No,Urban,18
35.0,4.8,3.0,5.0,Cloudy,Low,0,motorcycle,1.0,No,Metropolitian,27
33.0,4.6,4.0,15.0,Sandstorms,Low,1,motorcycle,0.0,No,Metropolitian,26
31.0,4.7,12.0,15.0,Sandstorms,Jam,1,motorcycle,0.0,No,Urban,25
39.0,4.7,16.0,10.0,Cloudy,Jam,0,motorcycle,2.0,No,Urban,46
21.0,4.3,7.0,15.0,Sandstorms,Low,0,motorcycle,1.0,No,Urban,18
35.0,4.5,9.0,15.0,Stormy,Jam,1,motorcycle,1.0,No,Metropolitian,25
24.0,4.5,4.0,10.0,Windy,Jam,1,scooter,1.0,No,Metropolitian,27
38.0,5.0,12.0,15.0,Fog,Jam,2,scooter,1.0,Yes,Metropolitian,43
29.566910587697233,4.6337736972250205,7.0,15.0,Windy,Medium,2,motorcycle,0.0,No,Metropolitian,25
29.0,4.6,16.0,10.0,Fog,Low,2,motorcycle,0.0,No,Metropolitian,28
25.0,4.9,7.0,15.0,Windy,Jam,0,motorcycle,1.0,No,Urban,16
39.0,4.5,13.0,5.0,Sandstorms,Jam,2,motorcycle,1.0,No,Metropolitian,28
33.0,4.6,10.0,5.0,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,38
23.0,5.0,10.0,35.0,Fog,Jam,0,motorcycle,2.0,No,Metropolitian,35
22.0,4.9,12.0,15.0,Stormy,Low,2,scooter,0.0,No,Urban,13
33.0,4.9,13.0,75.0,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,22
36.0,4.6,11.0,15.0,Sunny,Medium,0,motorcycle,0.0,No,Metropolitian,34
37.0,4.6,6.0,5.0,Sunny,High,2,electric_scooter,1.0,No,Metropolitian,24
37.0,4.2,20.0,5.0,Cloudy,Jam,2,scooter,2.0,No,Metropolitian,42
29.0,4.5,4.0,15.0,Cloudy,Jam,1,scooter,0.7446345675136238,No,Urban,30
20.0,5.0,7.0,20.0,Stormy,Jam,1,scooter,0.0,No,Metropolitian,14
34.0,4.7,6.0,10.0,Fog,High,2,scooter,1.0,No,Metropolitian,27
25.0,4.9,10.0,15.0,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,28
28.0,4.6,3.0,5.0,Stormy,Low,2,scooter,1.0,No,Metropolitian,13
20.0,4.7,4.0,5.0,Sunny,Jam,1,motorcycle,0.0,No,Urban,17
24.0,4.9,19.0,10.0,Cloudy,Low,2,scooter,1.0,No,Urban,22
36.0,4.7,14.0,1360.0,Sandstorms,Low,1,motorcycle,1.0,No,Urban,25
32.0,5.0,1.0,755.0,Cloudy,Low,0,motorcycle,1.0,No,Metropolitian,28
23.0,5.0,12.0,5.0,Cloudy,Medium,0,motorcycle,1.0,Yes,Metropolitian,44
35.0,4.1,9.0,1335.0,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,36
38.0,3.5,19.0,15.0,Fog,Low,2,scooter,1.0,No,Urban,33
21.0,4.5,17.0,5.0,Sunny,Low,2,scooter,0.0,No,Urban,30
27.0,5.0,19.0,5.0,Cloudy,Medium,0,motorcycle,3.0,No,Metropolitian,43
28.0,4.0,16.0,10.0,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,32
38.0,4.7,12.0,1390.0,Cloudy,Jam,0,motorcycle,2.0,Yes,Metropolitian,42
25.0,4.7,6.0,10.0,Fog,Medium,2,scooter,0.0,No,Metropolitian,11
39.0,4.4,19.0,5.0,Sunny,Medium,0,motorcycle,1.0,No,Metropolitian,35
31.0,3.8,19.0,15.0,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,31
23.0,4.9,4.0,5.0,Windy,Medium,1,scooter,1.0,No,Metropolitian,25
22.0,4.7,3.0,585.0,Sunny,High,1,motorcycle,1.0,No,Metropolitian,13
20.0,4.9,13.0,5.0,Sunny,Jam,1,motorcycle,1.0,No,Urban,12
37.0,4.6,1.0,5.0,Cloudy,Low,1,motorcycle,0.0,No,Metropolitian,16
22.0,4.5,10.0,140.0,Fog,Low,0,motorcycle,1.0,No,Metropolitian,23
31.0,4.6,6.0,15.0,Fog,Medium,1,motorcycle,0.0,No,Urban,19
38.0,4.9,10.0,10.0,Stormy,Low,1,motorcycle,1.0,No,Metropolitian,26
36.0,4.8,9.0,10.0,Sunny,Jam,0,motorcycle,1.0,No,Metropolitian,28
28.0,4.6,4.0,15.0,Cloudy,Medium,0,motorcycle,0.7446345675136238,No,Metropolitian,28
38.0,5.0,1.0,730.0,Sunny,Low,2,motorcycle,0.0,No,Urban,19
28.0,4.9,7.0,10.0,Windy,Medium,1,motorcycle,0.0,No,Urban,21
36.0,4.4,19.0,10.0,Windy,Jam,0,motorcycle,2.0,No,Metropolitian,40
35.0,4.6,13.0,10.0,Sandstorms,Jam,0,motorcycle,0.0,No,Metropolitian,43
33.0,3.8,10.0,10.0,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,34
27.0,4.6,3.0,5.0,Sandstorms,Low,1,motorcycle,0.0,No,Metropolitian,16
30.0,4.8,9.0,1365.0,Cloudy,Low,1,motorcycle,0.0,No,Urban,15
29.0,4.9,10.0,5.0,Cloudy,Low,2,scooter,1.0,No,Urban,22
36.0,4.4,3.0,645.0,Windy,Low,0,motorcycle,1.0,No,Urban,22
31.0,4.7,2.0,755.0,Fog,Low,1,motorcycle,0.0,No,Metropolitian,15
35.0,4.8,11.0,5.0,Stormy,Medium,0,motorcycle,1.0,No,Metropolitian,49
23.0,4.6,13.0,5.0,Stormy,Low,1,motorcycle,1.0,No,Metropolitian,12
23.0,4.6,4.0,10.0,Cloudy,Jam,1,scooter,0.0,No,Metropolitian,27
33.0,5.0,13.0,5.0,Fog,Jam,1,motorcycle,3.0,Yes,Metropolitian,47
35.0,4.9,9.0,15.0,Stormy,Jam,1,scooter,2.0,No,Metropolitian,34
39.0,4.6,1.0,855.0,Stormy,High,2,scooter,1.0,No,Metropolitian,28
39.0,4.9,1.0,790.0,Sunny,Low,1,motorcycle,1.0,No,Metropolitian,16
35.0,4.7,9.0,130.0,Stormy,Low,1,motorcycle,0.0,No,Metropolitian,27
37.0,4.7,6.0,5.0,Sunny,Medium,2,scooter,0.0,No,Metropolitian,22
31.0,4.7,1.0,10.0,Cloudy,High,2,motorcycle,1.0,No,Urban,27
22.0,5.0,3.0,15.0,Cloudy,High,2,scooter,0.0,No,Metropolitian,25
34.0,4.0,6.0,970.0,Cloudy,High,2,scooter,1.0,No,Metropolitian,39
25.0,4.8,6.0,10.0,Sunny,Medium,2,scooter,0.0,No,Metropolitian,11
39.0,4.6,16.0,45.0,Fog,Jam,2,scooter,0.0,No,Urban,42
31.0,4.9,17.0,10.0,Cloudy,Jam,0,motorcycle,3.0,No,Semi-Urban,49
26.0,4.8,13.0,15.0,Windy,Jam,2,electric_scooter,0.0,No,Urban,19
35.0,4.6,6.0,15.0,Windy,High,1,scooter,0.0,No,Metropolitian,25
38.0,4.8,12.0,1295.0,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,28
20.0,4.7,7.0,15.0,Cloudy,Jam,2,motorcycle,1.0,No,Metropolitian,24
24.0,4.8,16.0,15.0,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,38
39.0,3.8,13.0,10.0,Stormy,Jam,2,electric_scooter,1.0,No,Metropolitian,32
34.0,4.9,3.0,15.0,Sunny,Low,1,scooter,0.0,No,Urban,19
21.0,4.8,9.0,10.0,Windy,Jam,0,motorcycle,2.0,No,Urban,35
34.0,4.6,10.0,15.0,Cloudy,Medium,1,motorcycle,1.0,No,Metropolitian,40
27.0,4.5,19.0,15.0,Stormy,Medium,1,motorcycle,0.0,No,Urban,19
29.566910587697233,4.6337736972250205,12.0,1255.0,Fog,Low,1,scooter,2.0,No,Urban,36
21.0,4.8,12.0,10.0,Sunny,Medium,2,scooter,1.0,No,Urban,13
36.0,4.2,12.0,5.0,Fog,Low,0,motorcycle,1.0,No,Metropolitian,39
29.0,4.9,16.0,5.0,Stormy,Medium,0,motorcycle,1.0,No,Metropolitian,29
34.0,4.6,1.0,5.0,Sandstorms,Low,2,scooter,0.0,No,Metropolitian,21
29.0,4.6,9.0,100.0,Fog,Jam,2,electric_scooter,0.0,No,Metropolitian,22
29.0,4.8,13.0,10.0,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,19
20.0,4.5,7.0,10.0,Sunny,Medium,1,motorcycle,1.0,No,Metropolitian,10
33.0,4.6,12.0,5.0,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,41
30.0,4.4,6.0,15.0,Cloudy,High,0,motorcycle,1.0,No,Metropolitian,34
22.0,4.6,7.0,15.0,Sunny,Jam,1,motorcycle,1.0,No,Metropolitian,13
21.0,4.9,14.0,155.0,Windy,Medium,2,scooter,1.0,No,Metropolitian,21
33.0,4.2,12.0,15.0,Cloudy,Jam,1,scooter,1.0,No,Metropolitian,44
29.566910587697233,4.6337736972250205,20.0,1250.0,Fog,Low,3,bicycle,0.0,No,Metropolitian,30
29.0,4.6,6.0,5.0,Windy,High,1,scooter,0.0,No,Metropolitian,23
23.0,4.2,3.0,15.0,Windy,Low,0,motorcycle,0.7446345675136238,No,Metropolitian,18
20.0,4.1,7.0,10.0,Windy,Low,0,motorcycle,0.0,No,Metropolitian,23
22.0,4.8,4.0,5.0,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,26
24.0,4.6,11.0,10.0,Cloudy,Low,1,motorcycle,1.0,No,Metropolitian,28
29.566910587697233,4.6337736972250205,13.0,45.0,Fog,Low,0,motorcycle,0.0,No,Metropolitian,20
27.0,4.6,9.0,10.0,Sunny,Jam,2,scooter,1.0,No,Metropolitian,14
32.0,4.6,20.0,1210.0,Sunny,Medium,2,motorcycle,1.0,No,Metropolitian,28
29.0,4.8,13.0,1300.0,Windy,Low,2,motorcycle,1.0,No,Urban,14
39.0,4.6,4.0,10.0,Sandstorms,Jam,1,motorcycle,0.0,No,Urban,27
